Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
278,Runaway Bay,54-56 Shearwater Esplanade,4216,-27.90843635,153.407386,M090930AU1-398-23236,29535
279,Runaway Bay,54-56 Shearwater Esplanade,4216,-27.90843635,153.407386,M090930AU1-400-23236,29535
280,Main Beach,Seaworld Drive,4217,-27.9670886,153.4269858,M090960AU1-397-22854,5320
281,Main Beach,Seaworld Drive,4217,-27.9670886,153.4269858,M090960AU1-398-22854,5320
282,Main Beach,Seaworld Drive,4217,-27.9670886,153.4269858,M090960AU1-399-22854,5467
283,Main Beach,Seaworld Drive,4217,-27.9670886,153.4269858,M090960AU1-400-22854,5467
284,Carrara,Birmingham Road,4211,-27.9466238,153.3256128,M091063AU1-397-23874,5237
285,Southport,Nerang and Cougal Streets,4215,-27.97126891,153.4072968,M091067AU1-399-22917,5467
286,Burleigh Heads,12 Goodwin Terrace,4220,-28.09013718,153.4568812,M091086AU1-398-2964,5629
287,Coolangatta,5 Scott Street93000025564,4225,-28.17026198,153.5391815,M091169AU1-400-23530,1049
288,Robina,Robina Town Centre,4226,-28.0796192,153.3881251,M091287AU1-397-23771,5237
289,Robina,Robina Town Centre,4226,-28.0796192,153.3881251,M091287AU1-398-23771,5237
290,Robina,Robina Town Centre,4226,-28.0796192,153.3881251,M091287AU1-399-23771,5237
291,Robina,Robina Town Centre,4226,-28.0796192,153.3881251,M091287AU1-400-23771,5237
292,Southport,326 Marine Parade,4215,-27.9560361,153.4096651,M091301AU1-397-23703,29535
293,Southport,326 Marine Parade,4215,-27.9560361,153.4096651,M091301AU1-399-23703,29535
294,Paradise Waters,2 Admiralty Drive,4216,-27.8335086,153.4213208,M091336AU1-397-5175,5241
295,Merrimac,1 Fairway Drive,4226,-28.0328924,153.4030217,M091338AU1-397-4907,5237
296,Labrador,18-22 Parker Street,4215,-27.9391232,153.405887,M091342AU1-399-23782,29535
297,Main Beach,3566 Main Beach Parade,4217,-27.9790946,153.4289892,M091344AU1-398-23675,5467
298,Main Beach,3566 Main Beach Parade,4217,-27.9790946,153.4289892,M091344AU1-400-23675,5241
299,Burleigh heads,Matilda Street,4220,-28.0987918,153.4454813,M091365AU1-399-24630,5629
300,Surfers Paradise,31 Thornton Street,4217,-28.0105513,153.4295441,M091376AU1-398-6058,5258
301,Surfers Paradise,31 Thornton Street,4217,-28.0105513,153.4295441,M091376AU1-400-6058,5258
302,Tweed Heads,Brett Street,2485,-28.1778602,153.5409291,M091389AU1-400-23760,1049
303,Southport,10 Cloyne Road,4215,-27.9657861,153.4131764,M091390AU1-397-24008,5320
304,Tweed Heads,145 Wharf Street,2485,-28.1786297,153.5409341,M091478AU1-398-24769,1049
305,Varsity Lakes,98 University Drive,4227,-28.0768416,153.4105104,M091547AU1-399-24296,5237
306,Varsity Lakes,98 University Drive,4227,-28.0768416,153.4105104,M091547AU1-400-24296,5237
307,Broadbeach,2651 Gold Coast Highway,4218,-28.0333847,153.4310338,M091680AU1-399-24067,5629
308,Surfers Paradise,3 Clifford Street,4217,-28.0061176,153.4311433,M091714AU1-397-5173,5258
309,Surfers Paradise,3 Clifford Street,4217,-28.0061176,153.4311433,M091714AU1-398-5173,5258
310,Surfers Paradise,3 Clifford Street,4217,-28.0061176,153.4311433,M091714AU1-399-5173,5258
311,Surfers Paradise,3 Clifford Street,4217,-28.0061176,153.4311433,M091714AU1-400-5173,5258
312,Surfers Paradise,3 Clifford Street,4217,-28.0061176,153.4311433,M091714AU2-398-5173,5258
313,Labrador,212-214 Marine Parade,4215,-27.95289618,153.4092721,M091770AU1-398-24614,5320
314,Burleigh Heads,100 The Esplanade,4220,-28.0842062,153.4497625,M091781AU1-399-2292,5629
315,Coomera,346 Colman Road,4209,-27.8298353,153.3767979,M091794AU1-399-24892,29535
316,Coolangatta,Dutton Street and Marine Parade,4225,-28.1683513,153.5384803,M091924AU1-398-4167,1049
317,Coolangatta,Dutton Street and Marine Parade,4225,-28.1683513,153.5384803,M091924AU1-400-4167,5630
318,Surfers Paradise,3046 Gold Coast Highway,4217,-28.0054369,153.4280733,M092011AU1-397-5448,5258
319,Surfers Paradise,3046 Gold Coast Highway,4217,-28.0054369,153.4280733,M092011AU1-399-5448,5258
320,Labrador,52 Imperial Parade,4215,-27.943751,153.4050741,M092057AU1-400-26251,29535
321,Coolangatta,Marine and McLean Street,4225,-28.1683513,153.5384803,M092314AU1-397-25230,1049
322,Coolangatta,Marine and McLean Street,4225,-28.1683513,153.5384803,M092314AU1-399-25230,5630
323,Kingscliff,Gunnamatta Avenue,2487,-28.2736228,153.5079997,M092354AU1-397-25495,1049
324,Kingscliff,Gunnamatta Avenue,2487,-28.2736228,153.5079997,M092354AU1-398-25495,1049
325,Main Beach,3655 Main Beach Parade,4217,-27.97496619,153.4260058,M092418AU1-398-25104,5320
326,Southport,5 Hicks Street,4215,-27.9657292,153.4129579,M092422AU1-400-26453,5467
327,Varsity Lakes,251 Varsity Parade,4227,-28.0776308,153.4164931,M092441AU1-397-24683,5237
328,Varsity Lakes,251 Varsity Parade,4227,-28.0776308,153.4164931,M092441AU1-398-24683,5237
329,Varsity Lakes,251 Varsity Parade,4227,-28.0776308,153.4164931,M092441AU1-399-24683,5237
330,Varsity Lakes,251 Varsity Parade,4227,-28.0776308,153.4164931,M092441AU1-400-24683,5237
