xID,Tech,Activity Date/Time,Activity,Job,Lat,Long
129,5320,10/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
130,5467,10/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
131,5629,10/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
132,5630,10/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
133,29535,10/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
134,1049,11/11/2011 6:00,LOCATION,,-28.030336,153.403252
135,5237,11/11/2011 6:00,LOCATION,,-28.104892,153.461403
136,5241,11/11/2011 6:00,LOCATION,,-27.953372,153.376648
137,5258,11/11/2011 6:00,LOCATION,,-28.04632,153.420161
138,5320,11/11/2011 6:00,LOCATION,,-27.949808,153.353281
139,5467,11/11/2011 6:00,LOCATION,,-28.028164,153.426047
140,5629,11/11/2011 6:00,LOCATION,,-28.046667,153.420124
141,5630,11/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
142,29535,11/11/2011 6:00,LOCATION,,-28.006297,153.353613
143,5237,11/11/2011 7:23,On site,M092752AU1-397-27323,-28.0795438,153.4099136
144,5237,11/11/2011 8:00,On site,M091338AU1-397-4907,-28.0328924,153.4030217
145,5241,11/11/2011 9:26,On site,M051098AU1-397-3975,-28.0026147,153.427622
146,5467,11/11/2011 9:37,On site,M090194AU1-397-10032,-27.995944,153.4282739
147,1049,11/11/2011 9:47,On site,M009384AU1-397-1,-28.17120709,153.5404704
148,1049,11/11/2011 10:27,On site,M090885AU1-397-22715,-28.1674652,153.5392522
149,5241,11/11/2011 11:21,On site,M008095AU1-397-4886,-27.9981163,153.4267001
150,29535,11/11/2011 11:25,On site,M091301AU1-397-23703,-27.9560361,153.4096651
151,1049,11/11/2011 11:29,On site,M093605AU1-397-27658,-28.2381432,153.5663176
152,5467,11/11/2011 13:07,On site,M008979AU1-397-5776,-27.9816831,153.4291027
153,5241,11/11/2011 13:27,On site,M005605AU1-397-2592,-28.00312299,153.4297778
154,1049,11/11/2011 13:29,On site,M093649AU1-397-27189,-28.2736228,153.5079997
155,5237,11/11/2011 13:30,On site,M092441AU1-397-24683,-28.0776308,153.4164931
156,1049,11/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
157,5237,11/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
158,5241,11/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
159,5258,11/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
160,5320,11/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
161,5467,11/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
162,5629,11/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
163,5630,11/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
164,29535,11/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
165,1049,14/11/2011 6:00,LOCATION,,-28.030336,153.403252
166,5237,14/11/2011 6:00,LOCATION,,-28.104892,153.461403
167,5241,14/11/2011 6:00,LOCATION,,-27.953372,153.376648
168,5258,14/11/2011 6:00,LOCATION,,-28.04632,153.420161
169,5320,14/11/2011 6:00,LOCATION,,-27.949808,153.353281
170,5467,14/11/2011 6:00,LOCATION,,-28.028164,153.426047
171,5629,14/11/2011 6:00,LOCATION,,-28.046667,153.420124
172,5630,14/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
173,29535,14/11/2011 6:00,LOCATION,,-28.006297,153.353613
174,5237,14/11/2011 7:29,On site,M091287AU1-398-23771,-28.0796192,153.3881251
175,5237,14/11/2011 9:00,On site,M094021AU1-398-28632,-28.07713104,153.4144435
176,5258,14/11/2011 9:38,On site,M093795AU1-398-392,-28.0325417,153.4345853
177,5237,14/11/2011 10:36,On site,M093064AU1-398-26783,-28.0776871,153.4156535
178,5258,14/11/2011 10:58,On site,L001894AU1-397-7244,-28.0271464,153.4326081
179,29535,14/11/2011 10:59,On site,M093513AU1-398-27578,-27.894729,153.3986312
180,5258,14/11/2011 11:38,On site,M005726AU1-396-2684,#N/A,#N/A
181,5258,14/11/2011 12:26,On site,M051118AU1-398-3921,-28.0233321,153.4339627
182,5258,14/11/2011 13:00,On site,M090906AU1-397-1202,-28.026653,153.4325149
183,5237,14/11/2011 13:26,On site,M094163AU1-398-29207,-28.0809026,153.4098916
184,5241,14/11/2011 13:31,On site,M009187AU1-398-5987,-28.0015444,153.4268186
185,5258,14/11/2011 13:45,On site,M005264AU1-397-2348,-28.0306876,153.4342526
186,5467,14/11/2011 13:53,On site,M009667AU1-398-5685,-28.0011707,153.4283167
187,29535,14/11/2011 14:04,On site,M009153AU1-398-5952,-27.8335086,153.4213208
188,5258,14/11/2011 14:29,On site,M091680AU1-396-24067,#N/A,#N/A
189,5258,14/11/2011 14:53,On site,M008318AU1-397-5102,-28.0589018,153.4418898
190,29535,14/11/2011 15:23,On site,L003751AU1-398-449,-27.88873113,153.3962748
191,5241,14/11/2011 15:48,On site,M008057AU1-398-4850,-28.006848,153.4229057
192,1049,14/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
193,5237,14/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
194,5241,14/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
195,5258,14/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
196,5320,14/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
197,5467,14/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
198,5629,14/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
199,5630,14/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
200,29535,14/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
201,1049,15/11/2011 6:00,LOCATION,,-28.030336,153.403252
202,5237,15/11/2011 6:00,LOCATION,,-28.104892,153.461403
203,5241,15/11/2011 6:00,LOCATION,,-27.953372,153.376648
204,5258,15/11/2011 6:00,LOCATION,,-28.04632,153.420161
205,5320,15/11/2011 6:00,LOCATION,,-27.949808,153.353281
206,5467,15/11/2011 6:00,LOCATION,,-28.028164,153.426047
207,5629,15/11/2011 6:00,LOCATION,,-28.046667,153.420124
208,5630,15/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
209,29535,15/11/2011 6:00,LOCATION,,-28.006297,153.353613
210,5258,15/11/2011 7:30,On site,L001706AU1-398-25932,-28.06029562,153.4407026
211,5237,15/11/2011 7:39,On site,M094220AU1-398-29389,-28.07941765,153.3821556
212,5258,15/11/2011 8:03,On site,M051116AU1-398-3796,-28.04270989,153.4371888
213,5629,15/11/2011 8:11,On site,M051121AU1-398-29519,-28.1644025,153.5497185
214,5467,15/11/2011 8:33,On site,M005725AU1-398-2683,-27.98212399,153.4278635
215,29535,15/11/2011 8:34,On site,M092941AU1-398-9859,-27.9673072,153.4145154
216,5237,15/11/2011 8:46,On site,M093838AU1-398-28502,-28.07765961,153.380584
217,5237,15/11/2011 8:48,On site,M094322AU1-398-29581,-28.077164,153.3793487
218,5258,15/11/2011 9:04,On site,M092492AU1-398-25330,-28.0475893,153.4082633
219,1049,15/11/2011 9:12,On site,M091478AU1-398-24769,-28.1786297,153.5409341
220,5258,15/11/2011 10:00,On site,M008531AU1-398-5316,-28.0306876,153.4342526
221,1049,15/11/2011 11:39,On site,M093614AU1-398-10092,-28.1838401,153.5466538
222,1049,15/11/2011 11:40,On site,M093788AU1-398-27430,-28.166515,153.549922
223,29535,15/11/2011 11:43,On site,M093948AU1-398-26990,-27.8537757,153.360322
224,5258,15/11/2011 12:02,On site,M090140AU1-398-9861,-28.02045469,153.4324961
225,5629,15/11/2011 13:05,On site,M051438AU1-398-26687,-28.0802477,153.4482839
226,5629,15/11/2011 13:24,On site,M094368AU1-398-29910,-28.0842062,153.4497625
227,5629,15/11/2011 14:17,On site,M009182AU1-398-5981,-28.0749511,153.4449785
228,5237,15/11/2011 14:31,On site,M093084AU1-398-26963,-28.08469315,153.3924354
229,1049,15/11/2011 15:03,On site,M051139AU1-398-4339,-28.1674652,153.5392522
230,5241,15/11/2011 15:37,On site,M094403AU1-398-29629,-28.00802913,153.4178795
231,5241,15/11/2011 15:40,On site,M094403AU2-398-29629,-28.00802913,153.4178795
232,1049,15/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
233,5237,15/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
234,5241,15/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
235,5258,15/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
236,5320,15/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
237,5467,15/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
238,5629,15/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
239,5630,15/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
240,29535,15/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
241,1049,16/11/2011 6:00,LOCATION,,-28.030336,153.403252
242,5237,16/11/2011 6:00,LOCATION,,-28.104892,153.461403
243,5241,16/11/2011 6:00,LOCATION,,-27.953372,153.376648
244,5258,16/11/2011 6:00,LOCATION,,-28.04632,153.420161
245,5320,16/11/2011 6:00,LOCATION,,-27.949808,153.353281
246,5467,16/11/2011 6:00,LOCATION,,-28.028164,153.426047
247,5629,16/11/2011 6:00,LOCATION,,-28.046667,153.420124
248,5630,16/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
249,29535,16/11/2011 6:00,LOCATION,,-28.006297,153.353613
250,5237,16/11/2011 7:45,On site,M093645AU1-398-27581,-28.0168966,153.3735431
251,5258,16/11/2011 8:16,On site,M090202AU1-398-10140,-28.01240847,153.423054
252,5237,16/11/2011 8:36,On site,M093645AU2-398-29828,-28.0168966,153.3735431
253,5629,16/11/2011 8:47,On site,M093758AU1-398-27428,-28.1678255,153.5415008
254,1049,16/11/2011 9:33,On site,M090884AU1-398-22715,-28.1674652,153.5392522
255,5241,16/11/2011 10:56,On site,M051098AU1-398-3975,-28.0026147,153.427622
256,5629,16/11/2011 11:06,On site,M094123AU1-398-29129,-20.7294558,143.1416956
257,29535,16/11/2011 11:09,On site,M092812AU1-398-26786,-27.8537757,153.360322
258,5241,16/11/2011 11:26,On site,M093478AU1-398-448,-28.0053479,153.4280348
259,1049,16/11/2011 11:33,On site,M090885AU1-398-22715,-28.1674652,153.5392522
260,5258,16/11/2011 12:27,On site,M091376AU1-398-6058,-28.0105513,153.4295441
261,5237,16/11/2011 12:33,On site,M094401AU1-398-29440,-28.0669978,153.4165346
262,1049,16/11/2011 12:52,On site,M091924AU1-398-4167,-28.1683513,153.5384803
263,5241,16/11/2011 14:12,On site,M008323AU1-398-5107,-28.0017971,153.4264662
264,1049,16/11/2011 14:32,On site,M051100AU1-398-3954,-28.1683513,153.5384803
265,1049,16/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
266,5237,16/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
267,5241,16/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
268,5258,16/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
269,5320,16/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
270,5467,16/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
271,5629,16/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
272,5630,16/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
273,29535,16/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
274,1049,17/11/2011 6:00,LOCATION,,-28.030336,153.403252
275,5237,17/11/2011 6:00,LOCATION,,-28.104892,153.461403
276,5241,17/11/2011 6:00,LOCATION,,-27.953372,153.376648
277,5258,17/11/2011 6:00,LOCATION,,-28.04632,153.420161
278,5320,17/11/2011 6:00,LOCATION,,-27.949808,153.353281
279,5467,17/11/2011 6:00,LOCATION,,-28.028164,153.426047
280,5629,17/11/2011 6:00,LOCATION,,-28.046667,153.420124
281,5630,17/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
282,29535,17/11/2011 6:00,LOCATION,,-28.006297,153.353613
283,5629,17/11/2011 7:07,On site,M009668AU1-398-7558,-28.0741524,153.4447798
284,5629,17/11/2011 8:08,On site,M009010AU1-398-5805,-28.0765085,153.4461261
285,29535,17/11/2011 8:31,On site,M094089AU1-398-28501,-27.99603588,153.0196955
286,29535,17/11/2011 9:36,On site,M093390AU1-398-1111170944,-27.98092995,152.9946992
287,1049,17/11/2011 9:41,On site,M092887AU1-398-27724,-28.2768833,153.5773332
288,1049,17/11/2011 9:51,On site,M092888AU1-398-25696,-28.2768833,153.5773332
289,5258,17/11/2011 9:58,On site,M090021AU1-398-9098,-28.0054369,153.4280733
290,5467,17/11/2011 10:04,On site,M008195AU1-398-4983,-27.9808439,153.4290673
291,5629,17/11/2011 10:37,On site,M051088AU1-398-4184,-28.17082624,153.5336907
292,1049,17/11/2011 10:47,On site,M092354AU1-398-25495,-28.2736228,153.5079997
293,5237,17/11/2011 11:05,On site,M092441AU1-398-24683,-28.0776308,153.4164931
294,5629,17/11/2011 11:37,On site,M008941AU1-398-5738,-28.1669881,153.5255189
295,29535,17/11/2011 11:46,On site,L001865AU1-398-1111171026,-27.9890692,152.9959574
296,5320,17/11/2011 11:56,On site,M008967AU1-398-5763,-27.9693409,153.4170884
297,5241,17/11/2011 12:30,On site,M008391AU1-398-5174,-28.0045258,153.4175183
298,29535,17/11/2011 13:22,On site,L001584AU1-398-27639,-27.7506633,153.2470787
299,1049,17/11/2011 13:34,On site,M094574AU1-398-30741,-33.8435496,151.1166388
300,5241,17/11/2011 13:36,On site,L004759AU1-398-24159,-28.0020201,153.4295178
301,5467,17/11/2011 13:57,On site,M091344AU1-398-23675,-27.9790946,153.4289892
302,5241,17/11/2011 14:02,On site,M008093AU1-398-4884,-28.00558398,153.4179549
303,5629,17/11/2011 14:34,On site,L002031AU1-398-31274,-28.0570144,153.4411222
304,5320,17/11/2011 15:21,On site,M090420AU1-398-10451,-27.9796822,153.4252618
305,5467,17/11/2011 15:44,On site,M009147AU1-398-5946,-27.9833366,153.4292688
306,5241,17/11/2011 15:50,On site,L003994AU1-398-1437,-28.001808,153.4284536
307,1049,17/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
308,5237,17/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
309,5241,17/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
310,5258,17/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
311,5320,17/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
312,5467,17/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
313,5629,17/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
314,5630,17/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
315,29535,17/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
316,1049,18/11/2011 6:00,LOCATION,,-28.030336,153.403252
317,5237,18/11/2011 6:00,LOCATION,,-28.104892,153.461403
318,5241,18/11/2011 6:00,LOCATION,,-27.953372,153.376648
319,5258,18/11/2011 6:00,LOCATION,,-28.04632,153.420161
320,5320,18/11/2011 6:00,LOCATION,,-27.949808,153.353281
321,5467,18/11/2011 6:00,LOCATION,,-28.028164,153.426047
322,5629,18/11/2011 6:00,LOCATION,,-28.046667,153.420124
323,5630,18/11/2011 6:00,LOCATION,,-28.1260414,153.4255251
324,29535,18/11/2011 6:00,LOCATION,,-28.006297,153.353613
325,5629,18/11/2011 7:34,On site,M091086AU1-398-2964,-28.09013718,153.4568812
326,5237,18/11/2011 7:45,On site,M090796AU1-398-22850,-28.080224,153.3839491
327,5258,18/11/2011 8:13,On site,M091714AU1-398-5173,-28.0061176,153.4311433
328,5629,18/11/2011 8:48,On site,M008433AU1-398-5218,-28.1286501,153.4866861
329,29535,18/11/2011 8:52,On site,M094382AU1-398-31039,-27.94506011,153.4101219
330,1049,18/11/2011 10:03,On site,M093858AU1-398-28793,-28.175188,153.544134
331,1049,18/11/2011 10:39,On site,M051094AU1-398-4223,-28.1868997,153.5228386
332,1049,18/11/2011 11:04,On site,M051111AU1-398-3772,-28.171204,153.546496
333,5629,18/11/2011 13:17,On site,M009008AU1-398-5803,-28.0844975,153.4487482
334,5467,18/11/2011 17:24,On site,M051152AU1-398-7242,-27.9833366,153.4292688
335,1049,18/11/2011  19:00:00 AM,LOCATION,,-28.030336,153.403252
336,5237,18/11/2011  19:00:00 AM,LOCATION,,-28.104892,153.461403
337,5241,18/11/2011  19:00:00 AM,LOCATION,,-27.953372,153.376648
338,5258,18/11/2011  19:00:00 AM,LOCATION,,-28.04632,153.420161
339,5320,18/11/2011  19:00:00 AM,LOCATION,,-27.949808,153.353281
340,5467,18/11/2011  19:00:00 AM,LOCATION,,-28.028164,153.426047
341,5629,18/11/2011  19:00:00 AM,LOCATION,,-28.046667,153.420124
342,5630,18/11/2011  19:00:00 AM,LOCATION,,-28.1260414,153.4255251
343,29535,18/11/2011  19:00:00 AM,LOCATION,,-28.006297,153.353613
344,1049,21/11/2011 6:00,LOCATION,,-28.030336,153.403252
345,5237,21/11/2011 6:00,LOCATION,,-28.104892,153.461403
346,5241,21/11/2011 6:00,LOCATION,,-27.953372,153.376648
347,5258,21/11/2011 6:00,LOCATION,,-28.04632,153.420161
348,5320,21/11/2011 6:00,LOCATION,,-27.949808,153.353281
